ISBN_10	ISBN_13	title	authors	big_cate	small_cate	seller	location	seller_link	seller_date	used	publisher	publish_date	binding	book_condition	illustrator	dust_jacket_condition	signed	edition	price	link
0001361589	9780001361584	Noddys Rainy Day Activity Book	Blyton, Enid	childrens-fiction-young-adult	enid-blyton	Brit Books	MiltonKeynes,UnitedKingdo	brit-books-milton-keynes/54148132/sf	2009-09-11	used	HarperCollinsChildrensBooks	1999	Paperback	Used; Good	None	None	None	None	US$ 105.49	https://www.abebooks.com/servlet/BookDetailsPL?bi=21120027159&searchurl=sts%3Dt%26isbn%3D0001361589%26sortby%3D17
0001361589	9780001361584	Fun With Noddy Summer Activity Book. Noddy's Toyland Adventures	Enid Blyton	childrens-fiction-young-adult	enid-blyton	Buybyebooks	Honiton,UnitedKingdo	buybyebooks-honiton/56688246/sf	2011-06-21	used	BBC Childrens Books	1996	P&#x2F;B	As New	Uncredited	No Jacket	None	None	US$ 139.91	https://www.abebooks.com/servlet/BookDetailsPL?bi=5636307153&cm_sp=collections-_-5kV1GVeI2blJ32W65bqbxh_item_1_26-_-bdp
0001380451	9780001380455	Fun And Games With Paddington	BOND, Michael	childrens-fiction-young-adult	childrens-series	Better World Books	Mishawaka,IN,U.S.A.	better-world-books-mishawaka-in-u.s.a/51315977/sf	2006-08-03	used	Collins	1977	None	Good	None	None	None		US$ 3.48	https://www.abebooks.com/servlet/BookDetailsPL?bi=16770819411&searchurl=sts%3Dt%26isbn%3D0001380451%26sortby%3D17
0001380451	9780001380455	FUN AND GAMES WITH PADDINGTON	Michael Bond	childrens-fiction-young-adult	childrens-series	Black Stump Books And Collectables	Skipton,VIC,,Australi	black-stump-books-and-collectables-skipton/946685/sf	2001-08-22	used	Collins, London	1977	Laminated Boards	Very Good	Ivor Wood	None	None	First Edition	US$ 23.76	https://www.abebooks.com/servlet/BookDetailsPL?bi=943190991&searchurl=sts%3Dt%26isbn%3D0001380451%26sortby%3D17
0001380451	9780001380455	Fun and Games with Paddington	Bond, Michael	childrens-fiction-young-adult	childrens-series	Bookbarn International	Bristol,SOM,UnitedKingdo	bookbarn-international-bristol/11757/sf	2005-01-28	used	Collins	1977	Paperback	Used; Good	None	None	None	None	US$ 3.56	https://www.abebooks.com/servlet/BookDetailsPL?bi=19744807411&searchurl=sts%3Dt%26isbn%3D0001380451%26sortby%3D17
0001380451	9780001380455	Fun And Games With Paddington	BOND, Michael	childrens-fiction-young-adult	childrens-series	INSIGNIA BOOKS	doncaster,SY,UnitedKingdom	insignia-books-doncaster/56079374/sf	2016-08-12	used	Collins	None	PAPERBACK	Very Good	None	None	None		US$ 15.33	https://www.abebooks.com/servlet/BookDetailsPL?bi=20425635425&searchurl=sts%3Dt%26isbn%3D0001380451%26sortby%3D17
0001380451	9780001380455	Fun And Games With Paddington	BOND, Michael	childrens-fiction-young-adult	childrens-series	Murray Media	NorthMiamiBeach,FL,U.S.A	murray-media-north-miami-beach-fl/59705792/sf	2013-09-26	used	Collins	1977	Paperback	Very Good	None	None	None	None	US$ 38.06	https://www.abebooks.com/servlet/BookDetailsPL?bi=22137182500&searchurl=sts%3Dt%26isbn%3D0001380451%26sortby%3D17
0001380451	9780001380455	Fun and Games with Paddington	Bond, Michael	childrens-fiction-young-adult	childrens-series	Shannon's Bookshelf	Mooretown,ON,Canada	shannons-bookshelf-mooretown-on-canada/4220274/sf	2004-02-10	used	Collins, Glasgow &amp; London	1977	Pictorial Hard Cover	Good to Very Good	Wood, Ivor	None	None	First Edition	US$ 10.00	https://www.abebooks.com/servlet/BookDetailsPL?bi=781946480&cm_sp=collections-_-4SQoaWUjey6INreyN8bH7X_item_3_31-_-bdp
0001380451	9780001380455	Fun And Games With Paddington	BOND, Michael	childrens-fiction-young-adult	childrens-series	TheBookRoom (IOBA)	PalmerstonNorth,NewZealan	thebookroom-ioba-palmerston-north/63146276/sf	2016-01-11	used	Collins, London.	1977	Hardcover	Very Good	None	None	None	1st Edition	US$ 12.00	https://www.abebooks.com/servlet/BookDetailsPL?bi=21370287770&searchurl=sts%3Dt%26isbn%3D0001380451%26sortby%3D17
0001380451	9780001380455	Fun and Games with Paddington	Bond, Michael	childrens-fiction-young-adult	childrens-series	WorldofBooks	Goring-By-Sea,WS,UnitedKingdo	worldofbooks-goring-by-sea/51947087/sf	2007-03-16	used	None	None	Paperback	Very Good	None	None	None	None	US$ 1.30	https://www.abebooks.com/servlet/BookDetailsPL?bi=19395983597&searchurl=sts%3Dt%26isbn%3D0001380451%26sortby%3D17
