title	genre	source	year	director	vote	gross	hyperlink
C.I.D.	action	imdb	1998–	none	1543	-1	tt0401916
C.I.D.	action	letterboxd	1956	Raj Khosla	-1	-1	https://letterboxd.com/film/cid
C.I.D.	action	top250tv	1956	Raj Khosla	-1	-1	https://www.top250.tv/movies/71284/c-i-d-
C.I.D.	crime	imdb	1998–	none	1544	-1	tt0401916
C.I.D.	crime	letterboxd	1956	Raj Khosla	-1	-1	https://letterboxd.com/film/cid
C.I.D.	foreign	goodfilms	1956	Raj Khosla	-1	-1	https://goodfil.ms/film/70476-c-i-d
C.I.D.	musical	imdb	1956	Raj Khosla	487	-1	tt0049041
C.I.D.	mystery	letterboxd	1956	Raj Khosla	-1	-1	https://letterboxd.com/film/cid
C.I.D.	thriller	imdb	1998–	none	1546	-1	tt0401916
C.I.D. Moosa	action	imdb	2003	Johny Antony	723	-1	tt0377575
C.I.D. Moosa	action	letterboxd	2003	Johny Antony	-1	-1	https://letterboxd.com/film/cid-moosa
C.I.D. Moosa	comedy	letterboxd	2003	Johny Antony	-1	-1	https://letterboxd.com/film/cid-moosa
C.I.D. Nazir	drama	letterboxd	1971	P. Venu	-1	-1	https://letterboxd.com/film/cid-nazir
C.I.D. Nazir	thriller	letterboxd	1971	P. Venu	-1	-1	https://letterboxd.com/film/cid-nazir
C.I.D. Unnikrishnan B.A., B.Ed	comedy	letterboxd	1994	Rajasenan	-1	-1	https://letterboxd.com/film/cid-unnikrishnan-ba-bed
C.i.S.: Chaoten im Sondereinsatz	comedy	letterboxd	2010	Erik Haffner	-1	-1	https://letterboxd.com/film/cis-chaoten-im-sondereinsatz
C.J. Dennis	history	imdb	1972–1975	none	-1	-1	tt6562228
C.K. dezerterzy	war	imdb	1986	Janusz Majewski	725	-1	tt0092713
C.K. Williams	biography	imdb	2009–	Guy Shahar	-1	-1	tt2110985
C.L.E.A.N.	mystery	imdb	2018	Aurelio Toni Agliata	259	-1	tt6836734
C.O.B.A.L.T.	war	imdb	2014	Lon Lopez	-1	-1	tt4374642
C.O.D	action	movieinsider	TBA		-1	-1	https://www.movieinsider.com/m4673/cod/
C.O.D	drama	movieinsider	TBA		-1	-1	https://www.movieinsider.com/m4673/cod/
C.O.D.	comedy	letterboxd	1981	Chuck Vincent	-1	-1	https://letterboxd.com/film/cod-1981
C.O.D.	comedy	top250tv	1981	Chuck Vincent;Sigi Kr&#228;mer	-1	-1	https://www.top250.tv/movies/251460/c-o-d-
C.O.D.	crime	flimcrave	1932	Michael Powell	-1	-1	42003
C.O.D.	crime	letterboxd	1932	Michael Powell	-1	-1	https://letterboxd.com/film/cod-1932
C.O.D.	mystery	flimcrave	1932	Michael Powell	-1	-1	42003
C.O.D.	mystery	letterboxd	1932	Michael Powell	-1	-1	https://letterboxd.com/film/cod-1932
C.O.D.	thriller	letterboxd	1932	Michael Powell	-1	-1	https://letterboxd.com/film/cod-1932
C.O.G.	biography	movieinsider	2013	Kyle Patrick Alvarez	-1	-1	https://www.movieinsider.com/m11932/cog/
C.O.G.	comedy	flimcrave	2013	Kyle Patrick Alvarez	-1	-1	50851
C.O.G.	comedy	goodfilms	2013	Kyle Patrick Alvarez	-1	-1	https://goodfil.ms/film/285613-c-o-g
C.O.G.	comedy	imdb	2013	Kyle Patrick Alvarez	3189	55301	tt1650393
C.O.G.	comedy	letterboxd	2013	Kyle Patrick Alvarez	-1	-1	https://letterboxd.com/film/cog
C.O.G.	comedy	matacritic	2013	Kyle Patrick Alvarez	-1	-1	http://www.metacritic.com/movie/cog
C.O.G.	comedy	movieinsider	2013	Kyle Patrick Alvarez	-1	-1	https://www.movieinsider.com/m11932/cog/
C.O.G.	drama	flimcrave	2013	Kyle Patrick Alvarez	-1	-1	50851
C.O.G.	drama	goodfilms	2013	Kyle Patrick Alvarez	-1	-1	https://goodfil.ms/film/285613-c-o-g
C.O.G.	drama	letterboxd	2013	Kyle Patrick Alvarez	-1	-1	https://letterboxd.com/film/cog
C.O.G.	drama	matacritic	2013	Kyle Patrick Alvarez	-1	-1	http://www.metacritic.com/movie/cog
C.O.P.S.	action	imdb	1988–1989	none	1063	-1	tt0163438
C.O.P.S.	animation	imdb	1988–1989	none	1063	-1	tt0163438
C.O.P.S.	crime	imdb	1988–1989	none	1063	-1	tt0163438
C.O.P.S.	science-fiction	imdb	1988–1989	none	1063	-1	tt0163438
C.R.A.Z.Y.	comedy	agoodmovietowatch	2005	Jean-Marc Vallée	-1	-1	https://agoodmovietowatch.com/c-r-z-y-2005/
C.R.A.Z.Y.	comedy	flimcrave	2006	Jean-Marc Vall	-1	-1	14490
C.R.A.Z.Y.	comedy	imdb	2005	Jean-Marc Vallée	28733	-1	tt0401085
C.R.A.Z.Y.	drama	agoodmovietowatch	2005	Jean-Marc Vallée	-1	-1	https://agoodmovietowatch.com/c-r-z-y-2005/
C.R.A.Z.Y.	drama	goodfilms	2005	Jean-Marc Vallée	-1	-1	https://goodfil.ms/film/65141-c-r-a-z-y
C.R.A.Z.Y.	drama	imdb	2005	Jean-Marc Vallée	28733	-1	tt0401085
C.R.A.Z.Y.	drama	matacritic	2005	Jean-Marc Vallée	-1	-1	http://www.metacritic.com/movie/crazy
C.R.A.Z.Y.	romance	flimcrave	2006	Jean-Marc Vall	-1	-1	14490
C.S. Lewis & The Chronicles of Narnia	documentary	goodfilms	2012	none	-1	-1	https://goodfil.ms/film/265173-c-s-lewis-the-chronicles-of-narnia
C.S. Lewis & The Chronicles of Narnia	documentary	letterboxd	2005	none	-1	-1	https://letterboxd.com/film/cs-lewis-the-chronicles-of-narnia
C.S. Lewis: Beyond Narnia	biography	imdb	2005 TV Mo	Norman Stone	79	-1	tt0497337
C.S. Lewis: Beyond Narnia	documentary	amazon	2005	Andy Hunt; Kate West; et al.	2	-1	https://www.amazon.com/C-S-Lewis-Beyond-Anton-Rogers/dp/B06XVYYRP4/ref=sr_1_3120?s=instant-video&amp;ie=UTF8&amp;qid=1507035915&amp;sr=1-3120&amp;refinements=p_n_theme_browse-bin%3A2650367011#
C.S. Lewis: Beyond Narnia	documentary	goodfilms	2005	none	-1	-1	https://goodfil.ms/film/127256-c-s-lewis-beyond-narnia
C.S. Lewis: Beyond Narnia	documentary	letterboxd	2005	none	-1	-1	https://letterboxd.com/film/cs-lewis-beyond-narnia
C.S. Lewis: Beyond Narnia	drama	goodfilms	2005	none	-1	-1	https://goodfil.ms/film/127256-c-s-lewis-beyond-narnia
C.S. Lewis: Beyond Narnia	drama	letterboxd	2005	none	-1	-1	https://letterboxd.com/film/cs-lewis-beyond-narnia
C.S.A : The Confederate States of America	comedy	goodfilms	2004	Kevin Willmott	-1	-1	https://goodfil.ms/film/67527-c-s-a-the-confederate-states-of-america
C.S.A : The Confederate States of America	documentary	goodfilms	2004	Kevin Willmott	-1	-1	https://goodfil.ms/film/67527-c-s-a-the-confederate-states-of-america
C.S.A : The Confederate States of America	drama	goodfilms	2004	Kevin Willmott	-1	-1	https://goodfil.ms/film/67527-c-s-a-the-confederate-states-of-america
C.S.A.: The Confederate States of America	comedy	flimcrave	2006	Kevin Willmott	-1	-1	14491
C.S.A.: The Confederate States of America	comedy	imdb	2004	Kevin Willmott	4329	671122	tt0389828
C.S.A.: The Confederate States of America	comedy	letterboxd	2004	Kevin Willmott	-1	-1	https://letterboxd.com/film/csa-the-confederate-states-of-america
C.S.A.: The Confederate States of America	comedy	matacritic	2006	Kevin Willmott	-1	-1	http://www.metacritic.com/movie/csa-the-confederate-states-of-america
C.S.A.: The Confederate States of America	drama	flimcrave	2006	Kevin Willmott	-1	-1	14491
C.S.A.: The Confederate States of America	drama	letterboxd	2004	Kevin Willmott	-1	-1	https://letterboxd.com/film/csa-the-confederate-states-of-america
C.S.A.: The Confederate States of America	drama	matacritic	2006	Kevin Willmott	-1	-1	http://www.metacritic.com/movie/csa-the-confederate-states-of-america
C.S.A.: The Confederate States of America	war	imdb	2004	Kevin Willmott	4329	671122	tt0389828
C.S.A.: The Confederate States of America	war	letterboxd	2004	Kevin Willmott	-1	-1	https://letterboxd.com/film/csa-the-confederate-states-of-america
C.S.EI Meidling - Warriors of Light	western	imdb	2011 TV Mo	Harald Huto	-1	-1	tt2707828
C/O Saira Banu	drama	letterboxd	2017	Antony Sony	-1	-1	https://letterboxd.com/film/c-o-saira-banu
C02	action	flimcrave	none	John Depew	-1	-1	58210
C02	drama	flimcrave	none	John Depew	-1	-1	58210
C4	history	imdb	2018	Kasper Skovsbøl	117	-1	tt6864078
C4PD Starsky and Hutch	biography	imdb	1990–	John Piper	-1	-1	tt4502712
C: A Celebration of Life	biography	imdb	2013	Heather Spencer	-1	-1	tt2640844
Ç??l?k	crime	letterboxd	1949	Ayd?n Arakon	-1	-1	https://letterboxd.com/film/cglk
